------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                          | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                  
------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------
All files                     |   54.49 |    45.24 |   56.38 |   54.55 |                                                                                                                                                                    
 app                          |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  +not-found.tsx              |       0 |      100 |       0 |       0 | 9-26                                                                                                                                                               
  _layout.tsx                 |       0 |      100 |       0 |       0 | 18-55                                                                                                                                                              
  email-verification.tsx      |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  exercises.tsx               |       0 |      100 |       0 |       0 | 6-12                                                                                                                                                               
  index.tsx                   |       0 |        0 |       0 |       0 | 11-42                                                                                                                                                              
  login.tsx                   |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  notification-settings.tsx   |       0 |        0 |       0 |       0 | 13-169                                                                                                                                                             
  notifications.tsx           |       0 |        0 |       0 |       0 | 18-172                                                                                                                                                             
  premium-plan.tsx            |       0 |        0 |       0 |       0 | 15-108                                                                                                                                                             
  premium-upgrade.tsx         |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  privacy-policy.tsx          |       0 |        0 |       0 |       0 | 11-92                                                                                                                                                              
  recipes.tsx                 |       0 |      100 |       0 |       0 | 6-12                                                                                                                                                               
  scan-preview.tsx            |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  scan-result.tsx             |       0 |      100 |       0 |       0 | 6-12                                                                                                                                                               
  settings.tsx                |       0 |        0 |       0 |       0 | 17-321                                                                                                                                                             
  signup.tsx                  |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  super-scan-result.tsx       |       0 |      100 |       0 |       0 | 6-12                                                                                                                                                               
  username-setup.tsx          |       0 |        0 |       0 |       0 |                                                                                                                                                                    
 app/(tabs)                   |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  _layout.tsx                 |       0 |        0 |       0 |       0 | 13-98                                                                                                                                                              
  analytics.tsx               |       0 |      100 |       0 |       0 | 7-16                                                                                                                                                               
  index.tsx                   |       0 |        0 |       0 |       0 |                                                                                                                                                                    
  scanner.tsx                 |       0 |        0 |       0 |       0 |                                                                                                                                                                    
 components                   |   75.32 |    53.15 |   78.46 |   73.97 |                                                                                                                                                                    
  AccountBadge.tsx            |     100 |      100 |     100 |     100 |                                                                                                                                                                    
  ActionCard.tsx              |     100 |       50 |     100 |     100 | 19                                                                                                                                                                 
  AnimatedTabBarIcon.tsx      |   88.88 |      100 |      75 |    87.5 | 54,58                                                                                                                                                              
